Título original,Título en español,Género,PáginasNota 1,Año,Notas
The Mist,La niebla,Terror,230,2007160,Publicada inicialmente en Skeleton Crew.161
Duma Key,Duma Key,Terror,611,2008162,Ganadora del Bram Stoker Award de 2008.163
Just After Sunset,Después del anochecer,Terror,367,2009164,Colección de trece historias cortas de King.165 Ganadora del Bram Stoker Award de 2008.163
Stephen King Goes to the Movies,Stephen King va al cine,Terror,592,2009166,Colección de cinco de las historias cortas más populares de King.167
Ur,Ur,Terror,,2009168,"Libro electrónico exclusivo de Amazon Kindle.169 En febrero de 2010 se publicó la edición en audiolibro,170 leído por Holter Graham.170"
Under the Dome,La cúpula,Terror,1074,2009171,Nominada para el British Fantasy Society Award de 2010.172
The Secretary of Dreams: Volume 2,La secretaria de los sueños: Volumen 2,"Terror, cómic",260,2010173,Ilustrado por Glenn Chadbourne.173
Blockade Billy,Blockade Billy,Terror,112,2010174,
"Full Dark, No Stars","Todo oscuro, sin estrellas",Terror,368,2010175,"Colección de cuatro novelas,175 176 relacionadas con el tema de la retribución.175"
Mile 81,Milla 81,Terror,80,2011177,En formato de libro electrónico.
11/22/63,22/11/63,"Ciencia ficción, ucronía",849,2011178,Novela referente al tema de un viaje a través del tiempo para prevenir el Asesinato de John F. Kennedy.179
American Vampire,Vampiro americano,"Vampiros, cómic",200,2011180,Escrita junto con Scott Snyder e ilustrada por Rafael Albuquerque.
It: The 25th Anniversary Special Edition,Eso: Edición especial 25 aniversario,Terror,,2011181,
Throttle,Acelerador,,47,2012,Escrito junto con Joe Hill. En formato de libro electrónico.
The Dark Tower: The Wind Through the Keyhole,La Torre Oscura: El viento por la cerradura,"Terror, ciencia ficción, fantasía",320,2012182,"Octava entrega en la serie de La Torre Oscura, aunque cronológicamente se ubica entre los libros cuatro (Mago y cristal) y cinco (Lobos del Calla)."
A Face in the Crowd,Un rostro en la multitud,Terror,50,2012183,Escrita junto con Stewart O'Nan. En formato de libro electrónico.
In the Tall Grass,En la hierba alta,"Terror, suspenso",64,2012,Escrito junto con Joe Hill. En formato de libro electrónico.
Guns,,No ficción,25,2013,En formato de libro electrónico.
Ghost Brothers of Darkland County,,,110,2013,Obra teatral (musical).
Joyland,Joyland,"Misterio, policial",304,2013184,
The Dark Man: An Illustrated Poem,Por definir.,,88,2013,Poema.
Doctor Sleep,Doctor Sueño,Terror,544,2013185,Continuación de El resplandor.185
Mr. Mercedes,Mr. Mercedes,Policial,,2014186,
Revival,Revival,,496,2014,Novela próxima.
