Carrie,Carrie,0,199,1974,"En 1976, el director de cine Brian de Palma hizo la primera película basada en la novela.7 3"
'Salem's Lot,El misterio de 'Salem's Lot,1,439,19758,Nominado para el World Fantasy Award de 1976.9
The Shining,El resplandor,2,447,197710,"La novela fue llevada al cine en 1980 por el director de cine Stanley Kubrick.11 Posteriormente se creó una miniserie en 1997,12 escrita por Stephen King.12"
Rage,Rabia,3,211,197713 14,Escrita bajo el seudónimo Richard Bachman.14
Night Shift,El umbral de la noche,4,336,197815 16,Este libro es una colección de relatos cortos de King.16
The Stand,La danza de la muerte,5,823,197817,"La versión original del libro (1978) fue nominada para el World Fantasy Award de 1979.18 En 1994, se estrenó una miniserie llamada The Stand19 (conocida en Latinoamérica y España como Apocalipsis)19 con guion de Stephen King20 y dirección de Mick Garris.20"
The Long Walk,La larga marcha,6,384,197921 22,Escrita bajo el seudónimo Richard Bachman.22
The Dead Zone,La zona muerta,7,428,197923,"Nominada para el Locus Award de 1980.24 En 1983 se estrenó la película basada en el libro de King,25 dirigida por David Cronenberg.25 Años más tarde en 2002 se estrenó una miniserie también basada en la novela de King.26"
Firestarter,Ojos de fuego,8,426,198027,"Nominada para el British Fantasy Award en 1981.28 En 1984 se estrenó la película basada en el libro,29 dirigida por Mark L. Lester29 y escrita por King y Stanley Mann.29 Tiempo después en 2002 se estrenó una secuela de la primera película,30 sin embargo esta película fue para televisión.30 Esta vez dirigida por Robert Iscove,30 y escrita por King y Philip Eisner.30"
Roadwork,Carretera maldita,9,274,198131 32,Escrita bajo el seudónimo Richard Bachman.31
Danse Macabre,Danza macabra,10,400,198133,Libro ganador del Hugo Award de 1982.34
Cujo,Cujo,11,319,198135,"Novela ganadora del British Fantasy Award de 1982.36 Existe una película basada en el libro, estrenada en 1983 y dirigida por Lewis Teague.37"
The Running Man,El fugitivo,12,219,198238,Escrita bajo el seudónimo Richard Bachman.38 En 1987 se estrenó la película The Running Man basada en el libro de King.39
The Dark Tower: The Gunslinger,La Torre Oscura I: La hierba del diablo,13,224,198240,Edición original: 1982.40
Creepshow,Creepshow,14,64,198241,Realmente es una película.41 King fue el guionista.41
Different Seasons,Las cuatro estaciones,15,527,198242,Colección de cuatro novelas.42
Christine,Christine,16,526,198343,La película basada en la novela se estrenó en 198344 y fue dirigida por John Carpenter.44
Pet Sematary,Cementerio de animales,17,416,198345,"Nominada para el World Fantasy Award de 1984.46 En 1989 se estrenó Pet Sematary,47 película basada en la novela de King47 y dirigida por Mary Lambert.47"
Cycle of the Werewolf,El ciclo del hombre lobo,18,127,198348,En 1985 se estrenó Silver Bullet basada en la novela de King.49
The Talisman,El talismán,19,646,198450,Escrita junto con Peter Straub.51 Nominada para el World Fantasy Award y el Locus Award en 1985.52
Thinner,Maleficio,20,309,198453,Escrita bajo el seudónimo Richard Bachman.54 En 1996 se estrenó la película Thinner basada en el libro.55
Skeleton Crew,"La niebla
La expedición
Historias fantásticas
Dos historias para no dormir",21,512,198556 57,Este libro es una colección de relatos cortos de King.56 57
The Bachman Books,The Bachman Books,22,692,198558,"Colección de cuatro novelas de Bachman: Rage, The Long Walk, Roadwork y The Running Man.58 Además del ensayo: ""Why I Was Bachman"" (""Porque yo era Bachman"").58"
It,Eso,23,1504,198659,"Novela ganadora del British Fantasy Award en 1987.60 Nominada para el Locus Award y para el World Fantasy Award de 1987.60 En 1990 se estrenó la película para televisión It, basada en la novela.61"
The Eyes of the Dragon,Los ojos del dragón,24,326,198762,
The Dark Tower II: The Drawing of the Three,La Torre Oscura II: La invocación,25,400,198763,Edición original: 1987.63
Misery,Misery,26,320,198764,"Nominada para el World Fantasy Award de 1988.65 En el año de 1990 se estrenó la película llamada Misery dirigida por Rob Reiner,66 y basada en la novela de King.66"
The Tommyknockers,Los Tommyknockers,27,558,198767,
Nightmares in the Sky,Nightmares in the Sky,28,128,198868,"En realidad este es un coffee table book,68 acerca de Gárgolas y Arquitectura gótica.68 Con imágenes de F-Stop Fitzgerald69 y con texto de King.68"
The Dark Half,La mitad oscura,29,431,198970,"En 1993 se realizó una película con el mismo título, por George A. Romero.71"
The Stand: The Complete & Uncut Edition,Apocalipsis,30,1152,199072,Edición completa de la original de 1978.73
